Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Coast to Mountain;Total matches;217
27/07/2025;12:00 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Coast to Mountain [Coast to Mountain];1v1;Z40 [Z40] [Taiwan] [Taiwan] [Lithuanians] [Lithuanians];>;Daniel [Georgians] [Georgians] [United States] [United States] [Daniel];(G3) [Watch VOD] [Watch VOD];Lithuanians;Georgians;Lithuanians;FALSE;Franks;2;1;50%;52,84;Coast to Mountain;;
21/07/2025;12:00 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Coast to Mountain [Coast to Mountain];1v1;DuDuZhu [DuDuZhu] [China] [China] [Berbers] [Berbers];<;Sora Kuma [Chinese] [Chinese] [Taiwan] [Taiwan] [Sora Kuma];(G2) [Watch VOD] [Watch VOD];Berbers;Chinese;Chinese;FALSE;Georgians;12;7;58%;63,24;Coast to Mountain;;
20/07/2025;14:30 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Coast to Mountain [Coast to Mountain];1v1;StrayDog [StrayDog] [China] [China] [Malians] [Malians];<;Blve [Persians] [Persians] [Taiwan] [Taiwan] [Blve (page does not exist)];(G4) [Watch VOD] [Watch VOD];Malians;Persians;Persians;FALSE;Goths;12;6;50%;58,15;Coast to Mountain;;
19/07/2025;12:00 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Coast to Mountain [Coast to Mountain];1v1;Youpudding [Youpudding] [Taiwan] [Taiwan] [Georgians] [Georgians];>;Rayz [Wu] [Wu] [Taiwan] [Taiwan] [Rayz];(G2) [Watch VOD] [Watch VOD];Georgians;Wu;Georgians;FALSE;Gurjaras;4;2;50%;54,54;Coast to Mountain;;
15/07/2025;13:40 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Coast to Mountain [Coast to Mountain];1v1;IBUYPOWER [IBUYPOWER] [China] [China] [Italians] [Italians];>;Bad Koala [Persians] [Persians] [China] [China] [Bad Koala];;Italians;Persians;Italians;FALSE;Hindustanis;7;1;14%;5,17;Coast to Mountain;;
16/03/2025;17:50 UTC;[Age of Empires II];The Garrison [The Garrison];Coast to Mountain [Coast to Mountain];1v1;Liereyy [Liereyy] [Austria] [Austria] [Goths] [Goths];<;Hera [Mongols] [Mongols] [Canada] [Canada] [Hera];(G1) [Watch VOD] [Watch VOD];Goths;Mongols;Mongols;FALSE;Huns;4;1;25%;18,43;Coast to Mountain;;
16/03/2025;13:10 UTC;[Age of Empires II];The Garrison: Amateur Event AoE2 1v1 [The Garrison/Amateur Event/AoE2/1v1];Coast to Mountain [Coast to Mountain];1v1;Running [Running] [Germany] [Germany] [Mongols] [Mongols];>;FreakinAndy [Persians] [Persians] [Austria] [Austria] [FreakinAndy];;Mongols;Persians;Mongols;FALSE;Incas;0;0;0%;0,00;Coast to Mountain;;
15/03/2025;21:10 UTC;[Age of Empires II];The Garrison: Amateur Event AoE2 1v1 [The Garrison/Amateur Event/AoE2/1v1];Coast to Mountain [Coast to Mountain];1v1;Mauseren [Mauseren (page does not exist)] [Denmark] [Denmark] [Lithuanians] [Lithuanians];<;Target331 [Berbers] [Berbers] [Germany] [Germany] [Target331];;Lithuanians;Berbers;Berbers;FALSE;Italians;7;4;57%;59,41;Coast to Mountain;;
15/03/2025;18:05 UTC;[Age of Empires II];The Garrison [The Garrison];Coast to Mountain [Coast to Mountain];1v1;Yo [Yo] [China] [China] [Goths] [Goths];>;Hera [Persians] [Persians] [Canada] [Canada] [Hera];(G3) [Watch VOD] [Watch VOD];Goths;Persians;Goths;FALSE;Japanese;42;20;48%;60,70;Coast to Mountain;;
15/03/2025;17:50 UTC;[Age of Empires II];The Garrison: Amateur Event AoE2 1v1 [The Garrison/Amateur Event/AoE2/1v1];Coast to Mountain [Coast to Mountain];1v1;Kiddo [Kiddo (page does not exist)] [France] [France] [Goths] [Goths];>;Lorhey [Armenians] [Armenians] [Germany] [Germany] [Lorhey (page does not exist)];;Goths;Armenians;Goths;FALSE;Jurchens;0;0;0%;0,00;Coast to Mountain;;
