Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Arabia;Total matches;957
14/03/2026;15:30 UTC;[Age of Empires II];The Bastion: Open Qualifier [The Bastion/Open Qualifier];Arabia [Arabia];1v1;.#sILVER [SILVER (page does not exist)] [Germany] [Germany] [Khitans] [Khitans];<;FreakinAndy [Chinese] [Chinese] [Austria] [Austria] [FreakinAndy];;Khitans;Chinese;Chinese;FALSE;Georgians;83;46;56%;63,97;Arabia;;
12/03/2026;19:00 UTC;[Age of Empires II];Queen's Clash V: Silver League [Queen's Clash/5/Silver League];Arabia [Arabia];1v1;daehiise [Daehiise] [Switzerland] [Switzerland] [Magyars] [Magyars];<;Babylon Vampire [Chinese] [Chinese] [Netherlands] [Netherlands] [Babylon Vampire (page does not exist)];;Magyars;Chinese;Chinese;FALSE;Goths;7;5;71%;55,25;Arabia;;
12/03/2026;18:00 UTC;[Age of Empires II];The Bastion: Open Qualifier [The Bastion/Open Qualifier];Arabia [Arabia];1v1;RiffRaff [RiffRaff (page does not exist)] [Switzerland] [Switzerland] [Japanese] [Japanese];<;chaos_2_win [Inca] [Inca] [Germany] [Germany] [Chaos 2 win];;Japanese;Inca;Inca;FALSE;Gurjaras;34;17;50%;56,58;Arabia;;
12/03/2026;16:00 UTC;[Age of Empires II];Svenska Age-Ligan Spring 2026: Elitserien [Svenska Age-Ligan/2026/Spring];Arabia [Arabia];1v1;Spaden [Spaden] [Sweden] [Sweden] [Chinese] [Chinese];>;Frost_9 [Slavs] [Slavs] [Sweden] [Sweden] [Frost 9];;Chinese;Slavs;Chinese;FALSE;Hindustanis;118;50;42%;54,60;Arabia;;
12/03/2026;15:30 UTC;[Age of Empires II];The Bastion: Open Qualifier [The Bastion/Open Qualifier];Arabia [Arabia];1v1;Madeen [Madeen (page does not exist)] [Germany] [Germany] [Khmer] [Khmer];<;Molle [Malians] [Malians] [Germany] [Germany] [Molle (page does not exist)];;Khmer;Malians;Malians;FALSE;Huns;34;12;35%;38,67;Arabia;;
11/03/2026;11:00 UTC;[Age of Empires II];The Bastion: Open Qualifier [The Bastion/Open Qualifier];Arabia [Arabia];1v1;Storm [Storm (page does not exist)] [Germany] [Germany] [Khmer] [Khmer];<;shiXo.# [Romans] [Romans] [Germany] [Germany] [ShiXo.];;Khmer;Romans;Romans;FALSE;Incas;0;0;0%;0,00;Arabia;;
10/03/2026;21:00 UTC;[Age of Empires II];The Bastion: Open Qualifier [The Bastion/Open Qualifier];Arabia [Arabia];1v1;Koerbel6 [Koerbel6 (page does not exist)] [Germany] [Germany] [Mongols] [Mongols];<;kelar [Japanese] [Japanese] [Germany] [Germany] [Kelar];;Mongols;Japanese;Japanese;FALSE;Italians;24;11;46%;53,91;Arabia;;
10/03/2026;14:30 UTC;[Age of Empires II];The Bastion: Open Qualifier [The Bastion/Open Qualifier];Arabia [Arabia];1v1;F1rstlady33 [F1rstlady33 (page does not exist)] [Germany] [Germany] [Franks] [Franks];<;DJ Pesto [Khitans] [Khitans] [Germany] [Germany] [DJ Pesto (page does not exist)];;Franks;Khitans;Khitans;FALSE;Japanese;36;14;39%;48,55;Arabia;;
07/03/2026;18:55 UTC;[Age of Empires II];Boyars Moscow LAN: Qualifier 1 [Boyars Moscow LAN/Qualifier/1];Arabia [Arabia];1v1;NoName1234 [NoName1234] [Russia] [Russia] [Tupi] [Tupi];<;Sueta_F [Goths] [Goths] [Russia] [Russia] [Sueta F];;Tupi;Goths;Goths;FALSE;Jurchens;44;18;41%;52,47;Arabia;;
07/03/2026;16:45 UTC;[Age of Empires II];Boyars Moscow LAN: Qualifier 1 [Boyars Moscow LAN/Qualifier/1];Arabia [Arabia];1v1;FayLayt [FayLayt (page does not exist)] [Russia] [Russia] [Malians] [Malians];<;mitrokhin [Maya] [Maya] [Russia] [Russia] [Mitrokhin (page does not exist)];;Malians;Maya;Maya;FALSE;Khitans;69;38;56%;62,69;Arabia;;
07/03/2026;16:40 UTC;[Age of Empires II];Boyars Moscow LAN: Qualifier 1 [Boyars Moscow LAN/Qualifier/1];Arabia [Arabia];1v1;Forvin [Forvin] [Russia] [Russia] [Malians] [Malians];<;Sueta_F [Mongols] [Mongols] [Russia] [Russia] [Sueta F];;Malians;Mongols;Mongols;FALSE;Khmer;102;48;47%;58,24;Arabia;;
07/03/2026;16:30 UTC;[Age of Empires II];Boyars Moscow LAN: Qualifier 1 [Boyars Moscow LAN/Qualifier/1];Arabia [Arabia];1v1;FStalker [FStalker (page does not exist)] [Russia] [Russia] [Tupi] [Tupi];<;NoName1234 [Muisca] [Muisca] [Russia] [Russia] [NoName1234];;Tupi;Muisca;Muisca;FALSE;Koreans;38;20;53%;58,29;Arabia;;
04/03/2026;18:00 UTC;[Age of Empires II];Svenska Age-Ligan Spring 2026: Elitserien [Svenska Age-Ligan/2026/Spring];Arabia [Arabia];1v1;Frost_9 [Frost 9] [Sweden] [Sweden] [Khmer] [Khmer];>;GGOut [Turks] [Turks] [Sweden] [Sweden] [GGOut];;Khmer;Turks;Khmer;FALSE;Lithuanians;48;27;56%;61,41;Arabia;;
28/02/2026;13:00 UTC;[Age of Empires II];Best Old School of the Year 2025 [Best Old School of the Year 2025];Arabia [Arabia];1v1;NeoZz [NeoZz] [France] [France] [Bengalis] [Bengalis];<;Chart [Khmer] [Khmer] [Japan] [Japan] [Chart];;Bengalis;Khmer;Khmer;FALSE;Magyars;40;19;48%;55,84;Arabia;;
18/02/2026;18:00 UTC;[Age of Empires II];Svenska Age-Ligan Spring 2026: Elitserien [Svenska Age-Ligan/2026/Spring];Arabia [Arabia];1v1;Frost_9 [Frost 9] [Sweden] [Sweden] [Hindustanis] [Hindustanis];<;Goatmeister [Chinese] [Chinese] [Sweden] [Sweden] [Goatmeister (page does not exist)];;Hindustanis;Chinese;Chinese;FALSE;Malay;39;21;54%;59,03;Arabia;;
16/02/2026;19:00 UTC;[Age of Empires II];Svenska Age-Ligan Spring 2026: Elitserien [Svenska Age-Ligan/2026/Spring];Arabia [Arabia];1v1;GGOut [GGOut] [Sweden] [Sweden] [Magyars] [Magyars];<;BuLLeT [Vietnamese] [Vietnamese] [Sweden] [Sweden] [BuLLeT];;Magyars;Vietnamese;Vietnamese;FALSE;Malians;56;28;50%;58,36;Arabia;;
15/02/2026;18:00 UTC;[Age of Empires II];Svenska Age-Ligan Spring 2026: Elitserien [Svenska Age-Ligan/2026/Spring];Arabia [Arabia];1v1;Frost_9 [Frost 9] [Sweden] [Sweden] [Georgians] [Georgians];<;mratin [Cumans] [Cumans] [Sweden] [Sweden] [Mratin];;Georgians;Cumans;Cumans;FALSE;Mapuche;0;0;0%;0,00;Arabia;;
14/02/2026;18:00 UTC;[Age of Empires II];DarkSidE Hidden Cup [DarkSidE Hidden Cup];Arabia [Arabia];1v1;Ash Ketchum [Ash Ketchum (page does not exist)] [Vietnamese] [Vietnamese];<;Betty Boop [Shu] [Shu] [Betty Boop (page does not exist)];;Vietnamese;Shu;Shu;FALSE;Mayans;0;0;0%;0,00;Arabia;;
14/02/2026;17:00 UTC;[Age of Empires II];DarkSidE Hidden Cup [DarkSidE Hidden Cup];Arabia [Arabia];1v1;Bugs Bunny [Bugs Bunny (page does not exist)] [Lithuanians] [Lithuanians];<;León-O [Byzantines] [Byzantines] [León-O (page does not exist)];;Lithuanians;Byzantines;Byzantines;FALSE;Mongols;71;32;45%;55,76;Arabia;;
13/02/2026;19:00 UTC;[Age of Empires II];CZ/SK AoE Liga: Season 2 [CZ/SK AoE Liga/2];Arabia [Arabia];1v1;Šteukoo [Šteukoo (page does not exist)] [Slovakia] [Slovakia] [Malians] [Malians];>;The Illusionist [Shu] [Shu] [Slovakia] [Slovakia] [The Illusionist];;Malians;Shu;Malians;FALSE;Muisca;1;1;100%;51,46;Arabia;;
12/02/2026;20:00 UTC;[Age of Empires II];Svenska Age-Ligan Spring 2026: Elitserien [Svenska Age-Ligan/2026/Spring];Arabia [Arabia];1v1;BuLLeT [BuLLeT] [Sweden] [Sweden] [Vietnamese] [Vietnamese];>;Goatmeister [Wei] [Wei] [Sweden] [Sweden] [Goatmeister (page does not exist)];;Vietnamese;Wei;Vietnamese;FALSE;Persians;89;46;52%;61,45;Arabia;;
10/02/2026;19:00 UTC;[Age of Empires II];Svenska Age-Ligan Spring 2026: Elitserien [Svenska Age-Ligan/2026/Spring];Arabia [Arabia];1v1;BuLLeT [BuLLeT] [Sweden] [Sweden] [Chinese] [Chinese];>;mratin [Malians] [Malians] [Sweden] [Sweden] [Mratin];;Chinese;Malians;Chinese;FALSE;Poles;3;2;67%;52,19;Arabia;;
08/02/2026;16:30 UTC;[Age of Empires II];CZ/SK AoE Liga: Season 2 [CZ/SK AoE Liga/2];Arabia [Arabia];1v1;Šteukoo [Šteukoo (page does not exist)] [Slovakia] [Slovakia] [Persians] [Persians];>;woaF [Maya] [Maya] [Slovakia] [Slovakia] [WoaF (page does not exist)];;Persians;Maya;Persians;FALSE;Portuguese;79;39;49%;59,19;Arabia;;
08/02/2026;14:00 UTC;[Age of Empires II];Svenska Age-Ligan Spring 2026: Elitserien [Svenska Age-Ligan/2026/Spring];Arabia [Arabia];1v1;Frost_9 [Frost 9] [Sweden] [Sweden] [Dravidians] [Dravidians];<;Ganji [Chinese] [Chinese] [Sweden] [Sweden] [Ganji];;Dravidians;Chinese;Chinese;FALSE;Puru;0;0;0%;0,00;Arabia;;
02/02/2026;16:40 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Lithuanians] [Lithuanians];<;Dragonstar [Khmer] [Khmer] [India] [India] [The Dragonstar];(G5) [Watch VOD] [Watch VOD];Lithuanians;Khmer;Khmer;FALSE;Romans;69;36;52%;60,66;Arabia;;
02/02/2026;16:40 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Portuguese] [Portuguese];<;Dragonstar [Shu] [Shu] [India] [India] [The Dragonstar];(G4) [Watch VOD] [Watch VOD];Portuguese;Shu;Shu;FALSE;Saracens;25;8;32%;31,18;Arabia;;
02/02/2026;16:40 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Burgundians] [Burgundians];<;Dragonstar [Hindustanis] [Hindustanis] [India] [India] [The Dragonstar];(G3) [Watch VOD] [Watch VOD];Burgundians;Hindustanis;Hindustanis;FALSE;Shu;41;23;56%;60,45;Arabia;;
02/02/2026;16:40 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Romans] [Romans];>;Dragonstar [Dravidians] [Dravidians] [India] [India] [The Dragonstar];(G2) [Watch VOD] [Watch VOD];Romans;Dravidians;Romans;FALSE;Sicilians;9;5;56%;53,81;Arabia;;
02/02/2026;16:40 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Celts] [Celts];<;Dragonstar [Vikings] [Vikings] [India] [India] [The Dragonstar];(G1) [Watch VOD] [Watch VOD];Celts;Vikings;Vikings;FALSE;Slavs;11;7;67%;56,04;Arabia;;
01/02/2026;16:00 UTC;[Age of Empires II];CZ/SK AoE Liga: Season 2 [CZ/SK AoE Liga/2];Arabia [Arabia];1v1;pren [Pren (page does not exist)] [Czechia] [Czechia] [Tatars] [Tatars];<;Šteukoo [Persians] [Persians] [Slovakia] [Slovakia] [Šteukoo (page does not exist)];;Tatars;Persians;Persians;FALSE;Spanish;4;3;75%;53,50;Arabia;;
01/02/2026;15:50 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;DOOMSTER [DOOMSTER] [India] [India] [Khmer] [Khmer];<;Dragonstar [Georgians] [Georgians] [India] [India] [The Dragonstar];(G4) [Watch VOD] [Watch VOD];Khmer;Georgians;Georgians;FALSE;Tatars;20;5;25%;18,28;Arabia;;
01/02/2026;15:50 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;DOOMSTER [DOOMSTER] [India] [India] [Koreans] [Koreans];<;Dragonstar [Malay] [Malay] [India] [India] [The Dragonstar];(G3) [Watch VOD] [Watch VOD];Koreans;Malay;Malay;FALSE;Teutons;6;2;33%;34,85;Arabia;;
01/02/2026;15:50 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;DOOMSTER [DOOMSTER] [India] [India] [Lithuanians] [Lithuanians];>;Dragonstar [Wu] [Wu] [India] [India] [The Dragonstar];(G2) [Watch VOD] [Watch VOD];Lithuanians;Wu;Lithuanians;FALSE;Tupi;2;0;0%;0,00;Arabia;;
01/02/2026;15:50 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;DOOMSTER [DOOMSTER] [India] [India] [Aztecs] [Aztecs];<;Dragonstar [Romans] [Romans] [India] [India] [The Dragonstar];(G1) [Watch VOD] [Watch VOD];Aztecs;Romans;Romans;FALSE;Turks;3;0;0%;0,00;Arabia;;
29/01/2026;20:30 UTC;[Age of Empires II];Svenska Age-Ligan Spring 2026: Elitserien [Svenska Age-Ligan/2026/Spring];Arabia [Arabia];1v1;BuLLeT [BuLLeT] [Sweden] [Sweden] [Hindustanis] [Hindustanis];>;Frost_9 [Gurjaras] [Gurjaras] [Sweden] [Sweden] [Frost 9];;Hindustanis;Gurjaras;Hindustanis;FALSE;Vietnamese;125;54;43%;55,43;Arabia;;
29/01/2026;17:15 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;adduOP [AdduOP (page does not exist)] [India] [India] [Japanese] [Japanese];<;Dr.Kozmonot [Malay] [Malay] [Turkey] [Turkey] [Dr.Kozmonot];(G3) [Watch VOD] [Watch VOD];Japanese;Malay;Malay;FALSE;Vikings;35;18;51%;57,37;Arabia;;
29/01/2026;17:15 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;adduOP [AdduOP (page does not exist)] [India] [India] [Byzantines] [Byzantines];<;Dr.Kozmonot [Lithuanians] [Lithuanians] [Turkey] [Turkey] [Dr.Kozmonot];(G2) [Watch VOD] [Watch VOD];Byzantines;Lithuanians;Lithuanians;FALSE;Wei;46;25;54%;60,10;Arabia;;
29/01/2026;17:15 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;adduOP [AdduOP (page does not exist)] [India] [India] [Teutons] [Teutons];<;Dr.Kozmonot [Vietnamese] [Vietnamese] [Turkey] [Turkey] [Dr.Kozmonot];(G1) [Watch VOD] [Watch VOD];Teutons;Vietnamese;Vietnamese;FALSE;Wu;15;5;31%;29,46;Arabia;;
28/01/2026;20:00 UTC;[Age of Empires II];CZ/SK AoE Liga: Season 2 [CZ/SK AoE Liga/2];Arabia [Arabia];1v1;Feroker [Feroker (page does not exist)] [Czechia] [Czechia] [Sicilians] [Sicilians];>;jsemosoom [Vietnamese] [Vietnamese] [Czechia] [Czechia] [Jsemosoom (page does not exist)];;Sicilians;Vietnamese;Sicilians;FALSE;;;;;;;;
27/01/2026;03:00 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;SMR [AssKickerwa] [India] [India] [Aztecs] [Aztecs];<;Dragonstar [Jurchens] [Jurchens] [India] [India] [The Dragonstar];;Aztecs;Jurchens;Jurchens;FALSE;;;;;;;;
27/01/2026;03:00 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;SMR [AssKickerwa] [India] [India] [Khmer] [Khmer];<;Dragonstar [Romans] [Romans] [India] [India] [The Dragonstar];;Khmer;Romans;Romans;FALSE;;;;;;;;
27/01/2026;03:00 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;SMR [AssKickerwa] [India] [India] [Koreans] [Koreans];<;Dragonstar [Vikings] [Vikings] [India] [India] [The Dragonstar];;Koreans;Vikings;Vikings;FALSE;;;;;;;;
27/01/2026;;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;adduOP [AdduOP (page does not exist)] [India] [India] [Chinese] [Chinese];>;Fenrir [Jurchens] [Jurchens] [India] [India] [Fenrir (Indian player) (page does not exist)];;Chinese;Jurchens;Chinese;FALSE;;;;;;;;
