Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Thames;Total matches;17
26/01/2026;17:00 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;Sebastian [Sebastian] [Uruguay] [Uruguay] [Vietnamese] [Vietnamese];>;TheViper [Mayans] [Mayans] [Norway] [Norway] [TheViper];(G2) [Watch VOD] [Watch VOD];Vietnamese;Mayans;Vietnamese;FALSE;Armenians;0;0;0%;0,00;Thames;;
26/01/2026;15:00 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;Sebastian [Sebastian] [Uruguay] [Uruguay] [Vietnamese] [Vietnamese];>;Sitaux [Vikings] [Vikings] [France] [France] [Sitaux];(G3) [Watch VOD] [Watch VOD];Vietnamese;Vikings;Vietnamese;FALSE;Aztecs;0;0;0%;0,00;Thames;;
25/01/2026;18:10 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;Lewis [Lewis] [United Kingdom] [United Kingdom] [Italians] [Italians];>;MbL [Saracens] [Saracens] [Norway] [Norway] [MbL];(G3) [Watch VOD] [Watch VOD];Italians;Saracens;Italians;FALSE;Bengalis;0;0;0%;0,00;Thames;;
25/01/2026;15:50 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;Yo [Yo] [China] [China] [Wei] [Wei];>;Barles [Dravidians] [Dravidians] [Poland] [Poland] [Barles];(G2) [Watch VOD] [Watch VOD];Wei;Dravidians;Wei;FALSE;Berbers;0;0;0%;0,00;Thames;;
25/01/2026;14:00 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;Yo [Yo] [China] [China] [Vietnamese] [Vietnamese];>;TaToH [Hindustanis] [Hindustanis] [Spain] [Spain] [TaToH];(G1) [Watch VOD] [Watch VOD];Vietnamese;Hindustanis;Vietnamese;FALSE;Bohemians;0;0;0%;0,00;Thames;;
25/01/2026;13:10 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;Vivi [Vivi] [China] [China] [Khitans] [Khitans];<;Vinchester [Wei] [Wei] [Russia] [Russia] [Vinchester];(G4) [Watch VOD] [Watch VOD];Khitans;Wei;Wei;FALSE;Britons;0;0;0%;0,00;Thames;;
24/01/2026;20:00 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;Vivi [Vivi] [China] [China] [Byzantines] [Byzantines];>;sora kuma [Jurchens] [Jurchens] [Taiwan] [Taiwan] [Sora Kuma];(G5) [Watch VOD] [Watch VOD];Byzantines;Jurchens;Byzantines;FALSE;Bulgarians;0;0;0%;0,00;Thames;;
24/01/2026;20:00 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;Capoch [Capoch] [Argentina] [Argentina] [Shu] [Shu];<;Yo [Magyars] [Magyars] [China] [China] [Yo];(G2) [Watch VOD] [Watch VOD];Shu;Magyars;Magyars;FALSE;Burgundians;0;0;0%;0,00;Thames;;
24/01/2026;16:55 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;KingstoNe [KingstoNe] [Mexico] [Mexico] [Wei] [Wei];<;Capoch [Khitans] [Khitans] [Argentina] [Argentina] [Capoch];(G5) [Watch VOD] [Watch VOD];Wei;Khitans;Khitans;FALSE;Burmese;0;0;0%;0,00;Thames;;
24/01/2026;16:45 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;sora kuma [Sora Kuma] [Taiwan] [Taiwan] [Portuguese] [Portuguese];>;Dark [Jurchens] [Jurchens] [Russia] [Russia] [Dark];(G4) [Watch VOD] [Watch VOD];Portuguese;Jurchens;Portuguese;FALSE;Byzantines;1;1;100%;89,93;Thames;;
24/01/2026;16:20 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;JorDan_AoE [JorDan AoE] [Germany] [Germany] [Portuguese] [Portuguese];<;Vivi [Poles] [Poles] [China] [China] [Vivi];(G5) [Watch VOD] [Watch VOD];Portuguese;Poles;Poles;FALSE;Celts;0;0;0%;0,00;Thames;;
24/01/2026;15:35 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;Running [Running] [Germany] [Germany] [Khitans] [Khitans];<;Sebastian [Shu] [Shu] [Uruguay] [Uruguay] [Sebastian];(G4) [Watch VOD] [Watch VOD];Khitans;Shu;Shu;FALSE;Chinese;0;0;0%;0,00;Thames;;
24/01/2026;15:25 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;Prisma09 [Prisma09] [Argentina] [Argentina] [Wei] [Wei];>;Villese [Saracens] [Saracens] [Finland] [Finland] [Villese];[Watch VOD] [Watch VOD];Wei;Saracens;Wei;FALSE;Cumans;0;0;0%;0,00;Thames;;
24/01/2026;14:30 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;shiXo.# [ShiXo.] [Germany] [Germany] [Khitans] [Khitans];<;Lucho [Wei] [Wei] [Argentina] [Argentina] [Lucho];(G1) [Watch VOD] [Watch VOD];Khitans;Wei;Wei;FALSE;Dravidians;1;0;0%;0,00;Thames;;
