Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Islands;Total matches;184
13/05/2025;21:00 UTC;[Age of Empires II];Hidden Cup Italia 2 [Hidden Cup Italia/2];Islands [Islands];1v1;Eadkhan [Eadkhan (page does not exist)] [Italy] [Italy] [Malay] [Malay];<;Killer Storm [Japanese] [Japanese] [Italy] [Italy] [Killer Storm (page does not exist)];(G2) [Watch VOD] [Watch VOD];Malay;Japanese;Japanese;FALSE;Franks;1;0;0%;0,00;Islands;;
13/05/2025;14:00 UTC;[Age of Empires II];Great British Discord Community Cup 2025 [Great British Discord Community Cup/2025];Islands [Islands];1v1;Emu Warrior [Emu Warrior (page does not exist)] [United States] [United States] [Italians] [Italians];<;dave_hun [Armenians] [Armenians] [Hungary] [Hungary] [Dave hun];(G1) [Watch VOD] [Watch VOD];Italians;Armenians;Armenians;FALSE;Georgians;0;0;0%;0,00;Islands;;
11/12/2024;21:30 UTC;[Age of Empires II];Liga Española AoE2 T9: Paladin Division [Liga Española AoE2/9];Islands [Islands];1v1;PoXoLo [PoXoLo] [Spain] [Spain] [Dravidians] [Dravidians];>;Moneimon [Vikings] [Vikings] [Spain] [Spain] [Moneimon];(G5) [Watch VOD] [Watch VOD];Dravidians;Vikings;Dravidians;FALSE;Goths;0;0;0%;0,00;Islands;;
08/12/2024;22:10 UTC;[Age of Empires II];Liga Española AoE2 T9: Paladin Division [Liga Española AoE2/9];Islands [Islands];1v1;ReyO [ReyO] [Spain] [Spain] [Dravidians] [Dravidians];<;Pume [Malay] [Malay] [Spain] [Spain] [Pume];(G1) [Watch VOD] [Watch VOD];Dravidians;Malay;Malay;FALSE;Gurjaras;0;0;0%;0,00;Islands;;
09/10/2024;;[Age of Empires II];Liga Española AoE2 T9: Paladin Division [Liga Española AoE2/9];Islands [Islands];1v1;PoXoLo [PoXoLo] [Spain] [Spain] [Armenians] [Armenians];>;m0re [Persians] [Persians] [Spain] [Spain] [M0re];(G3) [Watch VOD] [Watch VOD];Armenians;Persians;Armenians;FALSE;Hindustanis;0;0;0%;0,00;Islands;;
02/03/2024;19:15 UTC;[Age of Empires II];Hidden Cup V [Hidden Cup/5];Islands [Islands];1v1;Liereyy [Liereyy] [Austria] [Austria] [Italians] [Italians];>;TheViper [Dravidians] [Dravidians] [Norway] [Norway] [TheViper];(G3) [Watch VOD] [Watch VOD];Italians;Dravidians;Italians;FALSE;Huns;4;1;25%;18,23;Islands;;
02/03/2024;15:40 UTC;[Age of Empires II];Hidden Cup V [Hidden Cup/5];Islands [Islands];1v1;ACCM [ACCM] [Vietnam] [Vietnam] [Dravidians] [Dravidians];>;Hera [Vikings] [Vikings] [Canada] [Canada] [Hera];(G4) [Watch VOD] [Watch VOD];Dravidians;Vikings;Dravidians;FALSE;Incas;1;0;0%;0,00;Islands;;
01/03/2024;19:55 UTC;[Age of Empires II];Hidden Cup V [Hidden Cup/5];Islands [Islands];1v1;Liereyy [Liereyy] [Austria] [Austria] [Vikings] [Vikings];>;Sitaux [Koreans] [Koreans] [France] [France] [Sitaux];(G5) [Watch VOD] [Watch VOD];Vikings;Koreans;Vikings;FALSE;Italians;100;57;57%;76,08;Islands;;
01/03/2024;15:35 UTC;[Age of Empires II];Hidden Cup V [Hidden Cup/5];Islands [Islands];1v1;TheViper [TheViper] [Norway] [Norway] [Vikings] [Vikings];>;DauT [Aztecs] [Aztecs] [Serbia] [Serbia] [DauT];(G1) [Watch VOD] [Watch VOD];Vikings;Aztecs;Vikings;FALSE;Japanese;30;16;53%;65,56;Islands;;
28/02/2024;19:20 UTC;[Age of Empires II];Hidden Cup V [Hidden Cup/5];Islands [Islands];1v1;Ganji [Ganji] [Sweden] [Sweden] [Portuguese] [Portuguese];<;Liereyy [Italians] [Italians] [Austria] [Austria] [Liereyy];(G5) [Watch VOD] [Watch VOD];Portuguese;Italians;Italians;FALSE;Jurchens;0;0;0%;0,00;Islands;;
28/02/2024;15:40 UTC;[Age of Empires II];Hidden Cup V [Hidden Cup/5];Islands [Islands];1v1;Sitaux [Sitaux] [France] [France] [Armenians] [Armenians];>;Sebastian2002 [Armenians] [Armenians] [Uruguay] [Uruguay] [Sebastian];(G6) [Watch VOD] [Watch VOD];Armenians;Armenians;Armenians;TRUE;Khitans;1;0;0%;0,00;Islands;;
27/02/2024;20:00 UTC;[Age of Empires II];Hidden Cup V [Hidden Cup/5];Islands [Islands];1v1;Mr_Yo [Yo] [China] [China] [Italians] [Italians];<;TheViper [Bengalis] [Bengalis] [Norway] [Norway] [TheViper];(G1) [Watch VOD] [Watch VOD];Italians;Bengalis;Bengalis;FALSE;Khmer;0;0;0%;0,00;Islands;;
17/02/2024;17:10 UTC;[Age of Empires II];Hidden Cup V - Showmatch 1 [Hidden Cup/5/Show Matches/1];Islands [Islands];1v1;Daniel [Daniel] [United States] [United States] [Dravidians] [Dravidians];>;Margougou [Armenians] [Armenians] [France] [France] [Margougou];(G2) [Watch VOD] [Watch VOD];Dravidians;Armenians;Dravidians;FALSE;Koreans;14;3;21%;11,16;Islands;;
11/02/2024;16:45 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;Mihai06 [Mihai06] [Romania] [Romania] [Italians] [Italians];>;Sobek [Vikings] [Vikings] [Chile] [Chile] [Sobek];(G4) [Watch VOD] [Watch VOD];Italians;Vikings;Italians;FALSE;Lithuanians;2;2;100%;62,69;Islands;;
10/02/2024;19:25 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;Babaorum [Babaorum] [France] [France] [Italians] [Italians];<;Sebastian2002 [Armenians] [Armenians] [Uruguay] [Uruguay] [Sebastian];(G4) [Watch VOD] [Watch VOD];Italians;Armenians;Armenians;FALSE;Magyars;0;0;0%;0,00;Islands;;
10/02/2024;16:15 UTC;[Age of Empires II];Hidden Cup V: Qualifier [Hidden Cup/5/Qualifier];Islands [Islands];1v1;st4rk [St4rk] [Brazil] [Brazil] [Vikings] [Vikings];>;Barles [Dravidians] [Dravidians] [Poland] [Poland] [Barles];(G3) [Watch VOD] [Watch VOD];Vikings;Dravidians;Vikings;FALSE;Malay;15;5;33%;32,85;Islands;;
