Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Arabia;Total matches;191
15/08/2024;21:00 UTC;[Age of Empires II];The Pick and Mixer [The Pick and Mixer/1];MegaRandom [MegaRandom];1v1;OLADUSHEK [OLADUSHEK] [Belarus] [Belarus] [Ethiopians] [Ethiopians];>;Chanchilaru [Persians] [Persians] [Chile] [Chile] [Chanchilaru];;Ethiopians;Persians;Ethiopians;FALSE;Incas;0;0;0%;0,00;Arabia;;
12/08/2024;17:30 UTC;[Age of Empires II];The Pick and Mixer [The Pick and Mixer/1];MegaRandom [MegaRandom];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Byzantines] [Byzantines];>;Pela [Hindustanis] [Hindustanis] [Argentina] [Argentina] [Pela];;Byzantines;Hindustanis;Byzantines;FALSE;Italians;13;5;38%;47,23;Arabia;;
08/08/2024;18:00 UTC;[Age of Empires II];The Pick and Mixer [The Pick and Mixer/1];MegaRandom [MegaRandom];1v1;Pela [Pela] [Argentina] [Argentina] [Hindustanis] [Hindustanis];>;kelar [Saracens] [Saracens] [Germany] [Germany] [Kelar];;Hindustanis;Saracens;Hindustanis;FALSE;Japanese;8;6;75%;70,18;Arabia;;
07/08/2024;18:00 UTC;[Age of Empires II];The Pick and Mixer [The Pick and Mixer/1];MegaRandom [MegaRandom];1v1;TeMo [TeMo] [Morocco] [Morocco] [Portuguese] [Portuguese];>;shiXo.# [Vietnamese] [Vietnamese] [Germany] [Germany] [ShiXo.];;Portuguese;Vietnamese;Portuguese;FALSE;Jurchens;0;0;0%;0,00;Arabia;;
05/08/2024;02:30 UTC;[Age of Empires II];The Pick and Mixer [The Pick and Mixer/1];MegaRandom [MegaRandom];1v1;yomi [Yomi (page does not exist)] [Japan] [Japan] [Mongols] [Mongols];>;Rodrixs [Mongols] [Mongols] [Argentina] [Argentina] [Rodrixs];;Mongols;Mongols;Mongols;TRUE;Khitans;0;0;0%;0,00;Arabia;;
03/08/2024;18:00 UTC;[Age of Empires II];The Pick and Mixer [The Pick and Mixer/1];MegaRandom [MegaRandom];1v1;IAnTaGoNiStI [IAnTaGoNiStI] [Russia] [Russia] [Ethiopians] [Ethiopians];>;Frost_9 [Mongols] [Mongols] [Sweden] [Sweden] [Frost 9];;Ethiopians;Mongols;Ethiopians;FALSE;Khmer;5;3;60%;59,40;Arabia;;
12/06/2024;16:00 UTC;[Age of Empires II];Winner Stays On 5 (AoE2) [Winner Stays On/AoE2/5];MegaRandom [MegaRandom];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Byzantines] [Byzantines];>;DauT [Persians] [Persians] [Serbia] [Serbia] [DauT];(G4) [Watch VOD] [Watch VOD];Byzantines;Persians;Byzantines;FALSE;Koreans;0;0;0%;0,00;Arabia;;
12/06/2024;16:00 UTC;[Age of Empires II];Winner Stays On 4 (AoE2) [Winner Stays On/AoE2/4];MegaRandom [MegaRandom];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Malians] [Malians];<;Capoch [Lithuanians] [Lithuanians] [Argentina] [Argentina] [Capoch];(G2) [Watch VOD] [Watch VOD];Malians;Lithuanians;Lithuanians;FALSE;Lithuanians;23;10;43%;55,52;Arabia;;
15/05/2024;16:00 UTC;[Age of Empires II];Winner Stays On 1 (AoE2) [Winner Stays On/AoE2/1];MegaRandom [MegaRandom];1v1;Lewis [Lewis] [United Kingdom] [United Kingdom] [Portuguese] [Portuguese];<;Capoch [Lithuanians] [Lithuanians] [Argentina] [Argentina] [Capoch];(G5) [Watch VOD] [Watch VOD];Portuguese;Lithuanians;Lithuanians;FALSE;Magyars;6;1;17%;7,24;Arabia;;
18/02/2024;21:00 UTC;[Age of Empires II];Fight Club Monthly #3 [Fight Club Monthly/3];MegaRandom [MegaRandom];1v1;Faith2Adventure [Faith2Adventure] [United States] [United States] [Berbers] [Berbers];>;SoloGhostAK47 [Goths] [Goths] [United States] [United States] [SoloGhostAK47];;Berbers;Goths;Berbers;FALSE;Malay;9;6;71%;66,88;Arabia;;
