Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Thames;Total matches;33
24/01/2026;13:30 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;St4rk [St4rk] [Brazil] [Brazil] [Wei] [Wei];>;Overtaken [Georgians] [Georgians] [Estonia] [Estonia] [Overtaken];(G1) [Watch VOD] [Watch VOD];Wei;Georgians;Wei;FALSE;Japanese;0;0;0%;0,00;Thames;;
24/01/2026;13:30 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;applet [Applet (page does not exist)] [Denmark] [Denmark] [Persians] [Persians];<;emalius2 [Hindustanis] [Hindustanis] [Finland] [Finland] [Emalius2];;Persians;Hindustanis;Hindustanis;FALSE;Jurchens;4;0;0%;0,00;Thames;;
24/01/2026;13:30 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;EmperorNoob97 [EmperorNoob97 (page does not exist)] [United Kingdom] [United Kingdom] [Byzantines] [Byzantines];<;WaRRioR [Wei] [Wei] [Russia] [Russia] [WaRRioR];;Byzantines;Wei;Wei;FALSE;Khitans;9;4;44%;58,46;Thames;;
24/01/2026;13:30 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;Nojo [Nojo (page does not exist)] [United States] [United States] [Byzantines] [Byzantines];<;OLADUSHEK [Italians] [Italians] [Belarus] [Belarus] [OLADUSHEK];;Byzantines;Italians;Italians;FALSE;Khmer;0;0;0%;0,00;Thames;;
24/01/2026;13:30 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;MyrtleTurtle22 [MyrtleTurtle22 (page does not exist)] [United States] [United States] [Incas] [Incas];<;Eren_AoE [Hindustanis] [Hindustanis] [Mexico] [Mexico] [Eren AoE (page does not exist)];;Incas;Hindustanis;Hindustanis;FALSE;Koreans;0;0;0%;0,00;Thames;;
21/01/2026;15:00 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Ranked Ladder Qualifier [Red Bull Wololo/Londinium/AoE2/Ranked Ladder Qualifier];Thames [Thames];1v1;Vinchester [Vinchester] [Russia] [Russia] [Jurchens] [Jurchens];<;Hearttt [Italians] [Italians] [Peru] [Peru] [Hearttt];(G3) [Watch VOD] [Watch VOD];Jurchens;Italians;Italians;FALSE;Lithuanians;1;0;0%;0,00;Thames;;
03/01/2026;13:10 UTC;[Age of Empires II];Rusaoc Cup 175: Final of the Year 2025 [Rusaoc Cup/175];Thames [Thames];1v1;Vragorez [Vragorez] [Russia] [Russia] [Burgundians] [Burgundians];<;Vinchester [Persians] [Persians] [Russia] [Russia] [Vinchester];;Burgundians;Persians;Persians;FALSE;Magyars;2;1;50%;58,49;Thames;;
03/01/2026;13:10 UTC;[Age of Empires II];Rusaoc Cup 175: Final of the Year 2025 [Rusaoc Cup/175];Thames [Thames];1v1;LORDTOP99999 [LORDTOP99999 (page does not exist)] [Russia] [Russia] [Magyars] [Magyars];<;AntagonisT [Khitans] [Khitans] [Russia] [Russia] [IAnTaGoNiStI];;Magyars;Khitans;Khitans;FALSE;Malay;0;0;0%;0,00;Thames;;
03/01/2026;13:10 UTC;[Age of Empires II];Rusaoc Cup 175: Final of the Year 2025 [Rusaoc Cup/175];Thames [Thames];1v1;Dench [Dench] [Russia] [Russia] [Huns] [Huns];>;OLADUSHEK [Lithuanians] [Lithuanians] [Belarus] [Belarus] [OLADUSHEK];;Huns;Lithuanians;Huns;FALSE;Malians;0;0;0%;0,00;Thames;;
24/01/2025;15:15 UTC;[Age of Empires II];Red Bull Wololo: Londinium Age of Empires II: Last-Chance Qualifier [Red Bull Wololo/Londinium/AoE2/Qualifier];Thames [Thames];1v1;Valas [Valas] [Finland] [Finland] [Byzantines] [Byzantines];<;dogao [Saracens] [Saracens] [Brazil] [Brazil] [Dogao];;Byzantines;Saracens;Saracens;FALSE;Mapuche;0;0;0%;0,00;Thames;;
