Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Strandred;Total matches;258
18/02/2026;16:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Target331 [Target331] [Germany] [Germany] [Koreans] [Koreans];>;Blve [Mayans] [Mayans] [Taiwan] [Taiwan] [Blve (page does not exist)];(G1) [Watch VOD] [Watch VOD];Koreans;Mayans;Koreans;FALSE;Franks;0;0;0%;0,00;Strandred;;
17/02/2026;15:45 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Bad Koala [Bad Koala] [China] [China] [Huns] [Huns];>;Nahue05 [Malians] [Malians] [Argentina] [Argentina] [Nahuel05];(G2) [Watch VOD] [Watch VOD];Huns;Malians;Huns;FALSE;Georgians;16;12;75%;74,79;Strandred;;
16/02/2026;19:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;StonePleaseAoE [StonePleaseAoE] [Germany] [Germany] [Dravidians] [Dravidians];>;Kasva [Japanese] [Japanese] [Turkey] [Turkey] [Kasva];(G3) [Watch VOD] [Watch VOD];Dravidians;Japanese;Dravidians;FALSE;Goths;0;0;0%;0,00;Strandred;;
16/02/2026;18:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;Lucho [Lucho] [Argentina] [Argentina] [Malians] [Malians];<;Hearttt [Wu] [Wu] [Peru] [Peru] [Hearttt];(G1) [Watch VOD] [Watch VOD];Malians;Wu;Wu;FALSE;Gurjaras;0;0;0%;0,00;Strandred;;
15/02/2026;17:00 UTC;[Age of Empires II];CZ/SK AoE Liga: Season 2 [CZ/SK AoE Liga/2];Stranded (2020) [Stranded (2020)];1v1;Šteukoo [Šteukoo (page does not exist)] [Slovakia] [Slovakia] [Magyars] [Magyars];<;Somero [Berbers] [Berbers] [Czechia] [Czechia] [Somero];;Magyars;Berbers;Berbers;FALSE;Hindustanis;2;2;100%;59,54;Strandred;;
14/02/2026;19:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;MbL [MbL] [Norway] [Norway] [Wu] [Wu];<;Liereyy [Japanese] [Japanese] [Austria] [Austria] [Liereyy];(G3) [Watch VOD] [Watch VOD];Wu;Japanese;Japanese;FALSE;Huns;49;33;70%;80,31;Strandred;;
14/02/2026;16:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;Vivi [Vivi] [China] [China] [Malians] [Malians];<;Dragonstar [Dravidians] [Dravidians] [India] [India] [The Dragonstar];(G3) [Watch VOD] [Watch VOD];Malians;Dravidians;Dravidians;FALSE;Incas;3;1;33%;34,72;Strandred;;
13/02/2026;19:00 UTC;[Age of Empires II];CZ/SK AoE Liga: Season 2 [CZ/SK AoE Liga/2];Stranded (2020) [Stranded (2020)];1v1;Šteukoo [Šteukoo (page does not exist)] [Slovakia] [Slovakia] [Dravidians] [Dravidians];<;The Illusionist [Byzantines] [Byzantines] [Slovakia] [Slovakia] [The Illusionist];;Dravidians;Byzantines;Byzantines;FALSE;Italians;40;17;43%;55,12;Strandred;;
13/02/2026;16:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;ACCM [ACCM] [Vietnam] [Vietnam] [Italians] [Italians];>;Nicov [Incas] [Incas] [Argentina] [Argentina] [Nicov];(G1) [Watch VOD] [Watch VOD];Italians;Incas;Italians;FALSE;Japanese;49;23;47%;59,95;Strandred;;
13/02/2026;14:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;Yo [Yo] [China] [China] [Huns] [Huns];<;Hera [Malians] [Malians] [Canada] [Canada] [Hera];(G1) [Watch VOD] [Watch VOD];Huns;Malians;Malians;FALSE;Jurchens;0;0;0%;0,00;Strandred;;
