Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Strandred;Total matches;110
17/02/2026;15:45 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Bad Koala [Bad Koala] [China] [China] [Huns] [Huns];>;Nahue05 [Malians] [Malians] [Argentina] [Argentina] [Nahuel05];(G2) [Watch VOD] [Watch VOD];Huns;Malians;Huns;FALSE;Ethiopians;2;0;0%;0,00;Strandred;;
16/02/2026;19:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;StonePleaseAoE [StonePleaseAoE] [Germany] [Germany] [Dravidians] [Dravidians];>;Kasva [Japanese] [Japanese] [Turkey] [Turkey] [Kasva];(G3) [Watch VOD] [Watch VOD];Dravidians;Japanese;Dravidians;FALSE;Franks;0;0;0%;0,00;Strandred;;
16/02/2026;18:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;Lucho [Lucho] [Argentina] [Argentina] [Malians] [Malians];<;Hearttt [Wu] [Wu] [Peru] [Peru] [Hearttt];(G1) [Watch VOD] [Watch VOD];Malians;Wu;Wu;FALSE;Georgians;11;8;67%;78,72;Strandred;;
14/02/2026;19:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;MbL [MbL] [Norway] [Norway] [Wu] [Wu];<;Liereyy [Japanese] [Japanese] [Austria] [Austria] [Liereyy];(G3) [Watch VOD] [Watch VOD];Wu;Japanese;Japanese;FALSE;Goths;0;0;0%;0,00;Strandred;;
14/02/2026;16:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;Vivi [Vivi] [China] [China] [Malians] [Malians];<;Dragonstar [Dravidians] [Dravidians] [India] [India] [The Dragonstar];(G3) [Watch VOD] [Watch VOD];Malians;Dravidians;Dravidians;FALSE;Gurjaras;0;0;0%;0,00;Strandred;;
13/02/2026;16:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;ACCM [ACCM] [Vietnam] [Vietnam] [Italians] [Italians];>;Nicov [Incas] [Incas] [Argentina] [Argentina] [Nicov];(G1) [Watch VOD] [Watch VOD];Italians;Incas;Italians;FALSE;Hindustanis;1;1;100%;60,93;Strandred;;
13/02/2026;14:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;Yo [Yo] [China] [China] [Huns] [Huns];<;Hera [Malians] [Malians] [Canada] [Canada] [Hera];(G1) [Watch VOD] [Watch VOD];Huns;Malians;Malians;FALSE;Huns;16;11;69%;79,19;Strandred;;
11/02/2026;21:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;F1Re [F1Re] [Brazil] [Brazil] [Lithuanians] [Lithuanians];<;Sobek [Dravidians] [Dravidians] [Chile] [Chile] [Sobek];(G3) [Watch VOD] [Watch VOD];Lithuanians;Dravidians;Dravidians;FALSE;Incas;2;0;0%;0,00;Strandred;;
11/02/2026;17:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;Kasva [Kasva] [Turkey] [Turkey] [Koreans] [Koreans];>;classicpro [Persians] [Persians] [Ukraine] [Ukraine] [Classicpro];(G1) [Watch VOD] [Watch VOD];Koreans;Persians;Koreans;FALSE;Italians;18;8;44%;57,09;Strandred;;
11/02/2026;16:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;GoKu [GoKu] [Brazil] [Brazil] [Malians] [Malians];<;NeoZz [Chinese] [Chinese] [France] [France] [NeoZz];(G2) [Watch VOD] [Watch VOD];Malians;Chinese;Chinese;FALSE;Japanese;21;8;40%;51,14;Strandred;;
10/02/2026;16:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Lithuanians] [Lithuanians];>;Gabi [Koreans] [Koreans] [Brazil] [Brazil] [Gabi];(G3) [Watch VOD] [Watch VOD];Lithuanians;Koreans;Lithuanians;FALSE;Jurchens;0;0;0%;0,00;Strandred;;
10/02/2026;14:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;saymyname [Saymyname] [Vietnam] [Vietnam] [Koreans] [Koreans];<;Youpudding [Dravidians] [Dravidians] [Taiwan] [Taiwan] [Youpudding];(G1) [Watch VOD] [Watch VOD];Koreans;Dravidians;Dravidians;FALSE;Khitans;0;0;0%;0,00;Strandred;;
09/02/2026;17:40 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Italians] [Italians];<;Sebastian [Persians] [Persians] [Uruguay] [Uruguay] [Sebastian];(G1) [Watch VOD] [Watch VOD];Italians;Persians;Persians;FALSE;Khmer;2;2;100%;69,03;Strandred;;
09/02/2026;17:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;miguel [Miguel] [Brazil] [Brazil] [Georgians] [Georgians];>;Overtaken [Saracens] [Saracens] [Estonia] [Estonia] [Overtaken];(G2) [Watch VOD] [Watch VOD];Georgians;Saracens;Georgians;FALSE;Koreans;17;10;58%;70,45;Strandred;;
08/02/2026;23:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Nahue05 [Nahuel05] [Argentina] [Argentina] [Malians] [Malians];>;St4rk [Italians] [Italians] [Brazil] [Brazil] [St4rk];(G2) [Watch VOD] [Watch VOD];Malians;Italians;Malians;FALSE;Lithuanians;5;2;25%;20,30;Strandred;;
08/02/2026;15:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;ThunderboltX [ThunderboltX] [Bulgaria] [Bulgaria] [Mayans] [Mayans];<;Whocl [Malians] [Malians] [Chile] [Chile] [DreamCl];(G1) [Watch VOD] [Watch VOD];Mayans;Malians;Malians;FALSE;Magyars;1;0;0%;0,00;Strandred;;
06/02/2026;18:40 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;lyx [Lyx] [China] [China] [Japanese] [Japanese];<;Liereyy [Persians] [Persians] [Austria] [Austria] [Liereyy];(G3) [Watch VOD] [Watch VOD];Japanese;Persians;Persians;FALSE;Malay;2;1;50%;54,50;Strandred;;
06/02/2026;17:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Gabi [Gabi] [Brazil] [Brazil] [Koreans] [Koreans];>;Monoz [Persians] [Persians] [Argentina] [Argentina] [Monoz];(G1) [Watch VOD] [Watch VOD];Koreans;Persians;Koreans;FALSE;Malians;20;12;65%;72,68;Strandred;;
05/02/2026;17:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;miguel [Miguel] [Brazil] [Brazil] [Dravidians] [Dravidians];>;Villese [Wu] [Wu] [Finland] [Finland] [Villese];(G2) [Watch VOD] [Watch VOD];Dravidians;Wu;Dravidians;FALSE;Mapuche;0;0;0%;0,00;Strandred;;
03/02/2026;17:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;Terz [Terz] [Germany] [Germany] [Japanese] [Japanese];<;Kasva [Koreans] [Koreans] [Turkey] [Turkey] [Kasva];(G1) [Watch VOD] [Watch VOD];Japanese;Koreans;Koreans;FALSE;Mayans;5;1;20%;10,26;Strandred;;
02/02/2026;19:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;NeoZz [NeoZz] [France] [France] [Mayans] [Mayans];>;Babaorum [Byzantines] [Byzantines] [France] [France] [Babaorum];(G3) [Watch VOD] [Watch VOD];Mayans;Byzantines;Mayans;FALSE;Mongols;2;0;0%;0,00;Strandred;;
