Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Arabia;Total matches;37
08/06/2022;18:30 UTC;[Age of Empires II];JorDan's Medieval Brawl Season 1 #5 [JorDan's Medieval Brawl/Season 1/5];MegaRandom [MegaRandom];1v1;Villese [Villese] [Finland] [Finland] [Vietnamese] [Vietnamese];>;Vinchester [Gurjaras] [Gurjaras] [Russia] [Russia] [Vinchester];(G1) [Watch VOD] [Watch VOD];Vietnamese;Gurjaras;Vietnamese;FALSE;Japanese;3;3;100%;96,46;Arabia;;
07/06/2022;15:00 UTC;[Age of Empires II];Hera vs DauT Bo21 [DauT vs Hera/6];MegaRandom [MegaRandom];1v1;DauT [DauT] [Serbia] [Serbia] [Mongols] [Mongols];>;Hera [Inca] [Inca] [Canada] [Canada] [Hera];[Watch VOD] [Watch VOD];Mongols;Inca;Mongols;FALSE;Jurchens;0;0;0%;0,00;Arabia;;
12/05/2022;16:30 UTC;[Age of Empires II];JorDan's Medieval Brawl Season 1 #3 [JorDan's Medieval Brawl/Season 1/3];MegaRandom [MegaRandom];1v1;ACCM [ACCM] [Vietnam] [Vietnam] [Mongols] [Mongols];>;Nicov [Lithuanians] [Lithuanians] [Argentina] [Argentina] [Nicov];(G3) [Watch VOD] [Watch VOD];Mongols;Lithuanians;Mongols;FALSE;Khitans;0;0;0%;0,00;Arabia;;
12/05/2022;12:00 UTC;[Age of Empires II];OnlyBans [OnlyBans];MegaRandom [MegaRandom];1v1;DauT [DauT] [Serbia] [Serbia] [Burgundians] [Burgundians];>;JorDan_AoE [Burmese] [Burmese] [Germany] [Germany] [JorDan AoE];[Watch VOD] [Watch VOD];Burgundians;Burmese;Burgundians;FALSE;Khmer;0;0;0%;0,00;Arabia;;
27/04/2022;19:00 UTC;[Age of Empires II];OnlyBans [OnlyBans];MegaRandom [MegaRandom];1v1;Kongen_42 [Kongensgade] [Denmark] [Denmark] [Berbers] [Berbers];<;miguel [Japanese] [Japanese] [Brazil] [Brazil] [Miguel];[Watch VOD] [Watch VOD];Berbers;Japanese;Japanese;FALSE;Koreans;0;0;0%;0,00;Arabia;;
27/04/2022;16:30 UTC;[Age of Empires II];OnlyBans [OnlyBans];MegaRandom [MegaRandom];1v1;TRM [TRM] [Switzerland] [Switzerland] [Magyars] [Magyars];<;Yo [Britons] [Britons] [China] [China] [Yo];[Watch VOD] [Watch VOD];Magyars;Britons;Britons;FALSE;Lithuanians;8;2;25%;14,74;Arabia;;
06/03/2022;21:50 UTC;[Age of Empires II];Mega Random Madness [Mega Random Madness];MegaRandom [MegaRandom];1v1;True [True] [United States] [United States] [Celts] [Celts];>;PoLaR [Vikings] [Vikings] [United Kingdom] [United Kingdom] [PoLaR];(G1) [Watch VOD] [Watch VOD];Celts;Vikings;Celts;FALSE;Magyars;1;0;0%;0,00;Arabia;;
03/03/2022;17:00 UTC;[Age of Empires II];DauT vs TaToH Bo21 [DauT vs TaToH/6];MegaRandom [MegaRandom];1v1;TaToH [TaToH] [Spain] [Spain] [Italians] [Italians];<;DauT [Persians] [Persians] [Serbia] [Serbia] [DauT];[Watch VOD] [Watch VOD];Italians;Persians;Persians;FALSE;Malay;2;1;50%;58,07;Arabia;;
29/08/2021;18:00 UTC;[Age of Empires II];MrPlanner vs Survivalist [MrPlanner vs Survivalist];MegaRandom [MegaRandom];1v1;Survivalist [Survivalist] [Canada] [Canada] [Franks] [Franks];<;MrPlanner [Tatars] [Tatars] [Slovenia] [Slovenia] [MrPlanner];(G4) [Watch VOD] [Watch VOD];Franks;Tatars;Tatars;FALSE;Malians;1;0;0%;0,00;Arabia;;
24/04/2021;11:00 UTC;[Age of Empires II];Lavie Head vs Ted [Lavie Head vs Ted];MegaRandom [MegaRandom];1v1;Ted [Ted (page does not exist)] [United Kingdom] [United Kingdom] [Maya] [Maya];>;Lavie Head [Persians] [Persians] [Belarus] [Belarus] [Lavie Head];(G6) [Watch VOD] [Watch VOD];Maya;Persians;Maya;FALSE;Mapuche;0;0;0%;0,00;Arabia;;
