Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Fortified Clearing;Total matches;205
10/11/2025;19:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Gabi [Gabi] [Brazil] [Brazil] [Portuguese] [Portuguese];<;Target331 [Lithuanians] [Lithuanians] [Germany] [Germany] [Target331];(G4) [Watch VOD] [Watch VOD];Portuguese;Lithuanians;Lithuanians;FALSE;Dravidians;1;0;0%;0,00;Fortified Clearing;;
09/11/2025;20:00 UTC;[Age of Empires II];T90 Titans League 5: Silver Replacement Qualifier [T90 Titans League/5/Silver Replacement Qualifier];Fortified Clearing [Fortified Clearing];1v1;IXAM [IXAM (page does not exist)] [Argentina] [Argentina] [Poles] [Poles];<;El_Matador [Turks] [Turks] [Germany] [Germany] [El Matador];(G4) [Watch VOD] [Watch VOD];Poles;Turks;Turks;FALSE;Ethiopians;2;0;0%;0,00;Fortified Clearing;;
09/11/2025;20:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;Marty McFly [Marty McFly (page does not exist)] [Slovakia] [Slovakia] [Dravidians] [Dravidians];<;Latig [Jurchens] [Jurchens] [Hungary] [Hungary] [Latig (page does not exist)];(G3) [Watch VOD] [Watch VOD];Dravidians;Jurchens;Jurchens;FALSE;Franks;1;1;100%;56,32;Fortified Clearing;;
09/11/2025;16:25 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Survivalist [Survivalist] [Canada] [Canada] [Portuguese] [Portuguese];<;AntagonisT [Malay] [Malay] [Russia] [Russia] [IAnTaGoNiStI];(G1) [Watch VOD] [Watch VOD];Portuguese;Malay;Malay;FALSE;Georgians;1;0;0%;0,00;Fortified Clearing;;
06/11/2025;15:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Lamo [Lamo] [Latvia] [Latvia] [Burgundians] [Burgundians];<;chart [Hindustanis] [Hindustanis] [Japan] [Japan] [Chart];(G4) [Watch VOD] [Watch VOD];Burgundians;Hindustanis;Hindustanis;FALSE;Goths;2;0;0%;0,00;Fortified Clearing;;
04/11/2025;19:30 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;behemoth [Behemoth (page does not exist)] [Hungary] [Hungary] [Portuguese] [Portuguese];<;overkill [Turks] [Turks] [Hungary] [Hungary] [Overkill (page does not exist)];(G3) [Watch VOD] [Watch VOD];Portuguese;Turks;Turks;FALSE;Gurjaras;11;4;36%;41,19;Fortified Clearing;;
02/11/2025;19:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Thofou [Thofou (page does not exist)] [Belgium] [Belgium] [Poles] [Poles];>;NeoZz [Hindustanis] [Hindustanis] [France] [France] [NeoZz];(G4) [Watch VOD] [Watch VOD];Poles;Hindustanis;Poles;FALSE;Hindustanis;21;11;52%;62,45;Fortified Clearing;;
02/11/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;wawa90 [Wawa90 (page does not exist)] [Hungary] [Hungary] [Spanish] [Spanish];>;Nessius Blaze [Armenians] [Armenians] [Hungary] [Hungary] [Nessius Blaze (page does not exist)];(G2) [Watch VOD] [Watch VOD];Spanish;Armenians;Spanish;FALSE;Huns;1;0;0%;0,00;Fortified Clearing;;
02/11/2025;15:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;Rideg [Rideg] [Hungary] [Hungary] [Mongols] [Mongols];>;Adel [Byzantines] [Byzantines] [Hungary] [Hungary] [Adel (page does not exist)];(G3) [Watch VOD] [Watch VOD];Mongols;Byzantines;Mongols;FALSE;Incas;0;0;0%;0,00;Fortified Clearing;;
31/10/2025;17:00 UTC;[Age of Empires II];T90 Titans League 5: Bronze League [T90 Titans League/5/Bronze League];Fortified Clearing [Fortified Clearing];1v1;Emu Warrior [Emu Warrior (page does not exist)] [United States] [United States] [Khitans] [Khitans];<;AntagonisT [Burgundians] [Burgundians] [Russia] [Russia] [IAnTaGoNiStI];(G3) [Watch VOD] [Watch VOD];Khitans;Burgundians;Burgundians;FALSE;Italians;8;3;38%;44,53;Fortified Clearing;;
