Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Kawasan;Total matches;795
07/11/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;SchleK [SchleK (page does not exist)] [Hungary] [Hungary] [Byzantines] [Byzantines];>;Salytmacska [Lithuanians] [Lithuanians] [Hungary] [Hungary] [Salytmacska (page does not exist)];(G1) [Watch VOD] [Watch VOD];Byzantines;Lithuanians;Byzantines;FALSE;Ethiopians;12;4;33%;34,60;Kawasan;;
29/10/2025;19:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Koiponty [Koiponty (page does not exist)] [Hungary] [Hungary] [Bulgarians] [Bulgarians];<;John [Mayans] [Mayans] [Hungary] [Hungary] [John];(G3) [Watch VOD] [Watch VOD];Bulgarians;Mayans;Mayans;FALSE;Franks;72;41;57%;65,40;Kawasan;;
28/10/2025;19:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Att_os [Att os (page does not exist)] [Hungary] [Hungary] [Romans] [Romans];<;SchleK [Byzantines] [Byzantines] [Hungary] [Hungary] [SchleK (page does not exist)];(G1) [Watch VOD] [Watch VOD];Romans;Byzantines;Byzantines;FALSE;Georgians;54;30;56%;62,69;Kawasan;;
28/10/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Nessius Blaze [Nessius Blaze (page does not exist)] [Hungary] [Hungary] [Armenians] [Armenians];<;FishWithoutMercy [Japanese] [Japanese] [Hungary] [Hungary] [FishWithoutMercy (page does not exist)];(G1) [Watch VOD] [Watch VOD];Armenians;Japanese;Japanese;FALSE;Goths;9;3;29%;25,51;Kawasan;;
26/10/2025;18:30 UTC;[Age of Empires II];Svenska Age-Ligan Fall 2025: Elitserien [Svenska Age-Ligan/2025/Fall];Kawasan [Kawasan];1v1;BuLLeT [BuLLeT] [Sweden] [Sweden] [Wu] [Wu];<;Kaeften [Dravidians] [Dravidians] [Sweden] [Sweden] [Kaeften (page does not exist)];;Wu;Dravidians;Dravidians;FALSE;Gurjaras;29;15;53%;57,50;Kawasan;;
26/10/2025;15:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Hrafn_the_Berzerker [Hrafn the Berzerker (page does not exist)] [Hungary] [Hungary] [Byzantines] [Byzantines];>;Adel [Magyars] [Magyars] [Hungary] [Hungary] [Adel (page does not exist)];(G3) [Watch VOD] [Watch VOD];Byzantines;Magyars;Byzantines;FALSE;Hindustanis;20;12;60%;59,17;Kawasan;;
26/10/2025;15:00 UTC;[Age of Empires II];Championnat Francophone: Saison 13 [Championnat Francophone/13];Kawasan [Kawasan];1v1;Benpat [Benpat (page does not exist)] [France] [France] [Japanese] [Japanese];<;nono12 [Persians] [Persians] [France] [France] [Nono12 (page does not exist)];;Japanese;Persians;Persians;FALSE;Huns;67;40;60%;67,02;Kawasan;;
22/10/2025;16:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;witcherkiller [Witcherkiller (page does not exist)] [Hungary] [Hungary] [Dravidians] [Dravidians];<;overkill [Portuguese] [Portuguese] [Hungary] [Hungary] [Overkill (page does not exist)];(G2) [Watch VOD] [Watch VOD];Dravidians;Portuguese;Portuguese;FALSE;Incas;16;10;64%;58,72;Kawasan;;
21/10/2025;14:30 UTC;[Age of Empires II];Championnat Francophone: Saison 13 [Championnat Francophone/13];Kawasan [Kawasan];1v1;nono12 [Nono12 (page does not exist)] [France] [France] [Persians] [Persians];<;Sitaux [Persians] [Persians] [France] [France] [Sitaux];;Persians;Persians;Persians;TRUE;Italians;63;23;36%;40,37;Kawasan;;
19/10/2025;16:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;krysuxie [Krysuxie (page does not exist)] [Hungary] [Hungary] [Japanese] [Japanese];<;Latig [Persians] [Persians] [Hungary] [Hungary] [Latig (page does not exist)];(G1) [Watch VOD] [Watch VOD];Japanese;Persians;Persians;FALSE;Japanese;170;95;56%;69,55;Kawasan;;
