Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Kawasan;Total matches;202
22/10/2025;16:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;witcherkiller [Witcherkiller (page does not exist)] [Hungary] [Hungary] [Dravidians] [Dravidians];<;overkill [Portuguese] [Portuguese] [Hungary] [Hungary] [Overkill (page does not exist)];(G2) [Watch VOD] [Watch VOD];Dravidians;Portuguese;Portuguese;FALSE;Dravidians;16;6;38%;44,28;Kawasan;;
19/10/2025;16:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;krysuxie [Krysuxie (page does not exist)] [Hungary] [Hungary] [Japanese] [Japanese];<;Latig [Persians] [Persians] [Hungary] [Hungary] [Latig (page does not exist)];(G1) [Watch VOD] [Watch VOD];Japanese;Persians;Persians;FALSE;Ethiopians;3;0;0%;0,00;Kawasan;;
11/10/2025;14:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Hrafn_the_Berzerker [Hrafn the Berzerker (page does not exist)] [Hungary] [Hungary] [Italians] [Italians];<;peppsi96 [Khitans] [Khitans] [Hungary] [Hungary] [Peppsi96 (page does not exist)];(G2) [Watch VOD] [Watch VOD];Italians;Khitans;Khitans;FALSE;Franks;26;17;65%;75,03;Kawasan;;
25/09/2025;18:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Lui [Lui (page does not exist)] [Hungary] [Hungary] [Persians] [Persians];>;wawa90 [Georgians] [Georgians] [Hungary] [Hungary] [Wawa90 (page does not exist)];(G1) [Watch VOD] [Watch VOD];Persians;Georgians;Persians;FALSE;Georgians;10;5;50%;57,75;Kawasan;;
21/09/2025;19:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Nessius Blaze [Nessius Blaze (page does not exist)] [Hungary] [Hungary] [Wu] [Wu];<;Hrafn_the_Berzerker [Byzantines] [Byzantines] [Hungary] [Hungary] [Hrafn the Berzerker (page does not exist)];(G3) [Watch VOD] [Watch VOD];Wu;Byzantines;Byzantines;FALSE;Goths;1;0;0%;0,00;Kawasan;;
14/09/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;witcherkiller [Witcherkiller (page does not exist)] [Hungary] [Hungary] [Chinese] [Chinese];<;TheTivadar [Portuguese] [Portuguese] [Hungary] [Hungary] [TheTivadar (page does not exist)];(G1) [Watch VOD] [Watch VOD];Chinese;Portuguese;Portuguese;FALSE;Gurjaras;2;1;50%;52,99;Kawasan;;
11/09/2025;19:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Hrafn_the_Berzerker [Hrafn the Berzerker (page does not exist)] [Hungary] [Hungary] [Dravidians] [Dravidians];<;Rideg [Malians] [Malians] [Hungary] [Hungary] [Rideg];(G2) [Watch VOD] [Watch VOD];Dravidians;Malians;Malians;FALSE;Hindustanis;4;1;25%;18,35;Kawasan;;
07/09/2025;18:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Jugger [Jugger (Hungarian Player) (page does not exist)] [Hungary] [Hungary] [Romans] [Romans];<;Latig [Japanese] [Japanese] [Hungary] [Hungary] [Latig (page does not exist)];(G3) [Watch VOD] [Watch VOD];Romans;Japanese;Japanese;FALSE;Huns;16;13;81%;82,30;Kawasan;;
07/09/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;krysuxie [Krysuxie (page does not exist)] [Hungary] [Hungary] [Japanese] [Japanese];<;GyoreE [Chinese] [Chinese] [Hungary] [Hungary] [GyoreE (page does not exist)];(G2) [Watch VOD] [Watch VOD];Japanese;Chinese;Chinese;FALSE;Incas;5;2;40%;51,74;Kawasan;;
02/09/2025;;[Age of Empires II];Argeking Cup VI [Argeking Cup/6];Kawasan [Kawasan];1v1;deaKer [DeaKer] [Argentina] [Argentina] [Portuguese] [Portuguese];>;Tatengue [Lithuanians] [Lithuanians] [Argentina] [Argentina] [Tatengue];(G1) [Watch VOD] [Watch VOD];Portuguese;Lithuanians;Portuguese;FALSE;Italians;12;4;33%;33,22;Kawasan;;
25/08/2025;22:15 UTC;[Age of Empires II];Argeking Cup VI [Argeking Cup/6];Kawasan [Kawasan];1v1;Carbo [Carbo] [Argentina] [Argentina] [Japanese] [Japanese];>;Twigg [Italians] [Italians] [Argentina] [Argentina] [Twigg];(G1) [Watch VOD] [Watch VOD];Japanese;Italians;Japanese;FALSE;Japanese;45;22;49%;62,51;Kawasan;;
05/08/2025;20:00 UTC;[Age of Empires II];Argeking Cup VI [Argeking Cup/6];Kawasan [Kawasan];1v1;Anakin [Anakin] [Argentina] [Argentina] [Wu] [Wu];>;Avee [Persians] [Persians] [Argentina] [Argentina] [Avee (page does not exist)];(G5) [Watch VOD] [Watch VOD];Wu;Persians;Wu;FALSE;Jurchens;0;0;0%;0,00;Kawasan;;
04/08/2025;01:00 UTC;[Age of Empires II];Argeking Cup VI: Qualifier [Argeking Cup/6/Qualifier];Kawasan [Kawasan];1v1;Landy [Landy (page does not exist)] [Argentina] [Argentina] [Portuguese] [Portuguese];<;TomS [Malians] [Malians] [Argentina] [Argentina] [TomS];(G2) [Watch VOD] [Watch VOD];Portuguese;Malians;Malians;FALSE;Khitans;1;1;100%;56,41;Kawasan;;
