Mapa;Mi_Civ;Civ_Rival;Partidas;Victorias;Win_Rate
African_Clearing;franks;chinese;39;8;0,20512820512820512
African_Clearing;franks;cumans;29;10;0,3448275862068966
African_Clearing;franks;dravidians;17;10;0,5882352941176471
African_Clearing;franks;ethiopians;18;11;0,6111111111111112
African_Clearing;franks;franks;18;9;0,5
African_Clearing;franks;georgians;12;4;0,3333333333333333
African_Clearing;franks;goths;21;15;0,7142857142857143
African_Clearing;franks;gurjaras;22;9;0,4090909090909091
African_Clearing;franks;hindustanis;25;12;0,48
African_Clearing;franks;huns;64;23;0,359375
African_Clearing;franks;incas;14;9;0,6428571428571429
African_Clearing;franks;italians;17;7;0,4117647058823529
African_Clearing;franks;japanese;20;5;0,25
African_Clearing;franks;jurchens;4;2;0,5
African_Clearing;franks;khitans;1;1;1,0
African_Clearing;franks;khmer;25;12;0,48
African_Clearing;franks;koreans;30;15;0,5
African_Clearing;franks;lithuanians;16;7;0,4375
African_Clearing;franks;magyars;24;7;0,2916666666666667
African_Clearing;franks;malay;14;7;0,5
African_Clearing;franks;malians;25;10;0,4
African_Clearing;franks;mayans;24;9;0,375
African_Clearing;franks;mongols;89;36;0,4044943820224719
African_Clearing;franks;persians;20;5;0,25
African_Clearing;franks;poles;17;5;0,29411764705882354
African_Clearing;franks;portuguese;20;15;0,75
African_Clearing;franks;romans;15;5;0,3333333333333333
African_Clearing;franks;saracens;21;14;0,6666666666666666
African_Clearing;franks;shu;3;1;0,3333333333333333
African_Clearing;franks;sicilians;26;13;0,5
African_Clearing;franks;slavs;16;8;0,5
African_Clearing;franks;spanish;37;10;0,2702702702702703
African_Clearing;franks;tatars;13;4;0,3076923076923077
African_Clearing;franks;teutons;19;11;0,5789473684210527
African_Clearing;franks;turks;19;10;0,5263157894736842
African_Clearing;franks;vietnamese;28;13;0,4642857142857143
African_Clearing;franks;vikings;15;5;0,3333333333333333
African_Clearing;franks;wei;4;2;0,5
African_Clearing;franks;wu;7;4;0,5714285714285714
African_Clearing;georgians;armenians;15;9;0,6
African_Clearing;georgians;aztecs;20;12;0,6
African_Clearing;georgians;bengalis;25;8;0,32
African_Clearing;georgians;berbers;47;18;0,3829787234042553
African_Clearing;georgians;bohemians;11;5;0,45454545454545453
African_Clearing;georgians;britons;17;8;0,47058823529411764
