Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Arabia;Total matches;492
17/01/2026;17:15 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;n0_chanc3 [N0 chanc3 (page does not exist)] [India] [India] [Khmer] [Khmer];<;adduOP [Malians] [Malians] [India] [India] [AdduOP (page does not exist)];(G3) [Watch VOD] [Watch VOD];Khmer;Malians;Malians;FALSE;Franks;10;4;40%;51,65;Arabia;;
17/01/2026;17:15 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;n0_chanc3 [N0 chanc3 (page does not exist)] [India] [India] [Malay] [Malay];<;adduOP [Spanish] [Spanish] [India] [India] [AdduOP (page does not exist)];(G2) [Watch VOD] [Watch VOD];Malay;Spanish;Spanish;FALSE;Georgians;43;21;49%;59,00;Arabia;;
17/01/2026;17:15 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;n0_chanc3 [N0 chanc3 (page does not exist)] [India] [India] [Magyars] [Magyars];<;adduOP [Jurchens] [Jurchens] [India] [India] [AdduOP (page does not exist)];(G1) [Watch VOD] [Watch VOD];Magyars;Jurchens;Jurchens;FALSE;Goths;2;2;100%;55,35;Arabia;;
15/01/2026;;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Lithuanians] [Lithuanians];>;Sharan [Koreans] [Koreans] [India] [India] [Sharan (page does not exist)];(G2) [Watch VOD] [Watch VOD];Lithuanians;Koreans;Lithuanians;FALSE;Gurjaras;25;14;56%;61,34;Arabia;;
15/01/2026;;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Malay] [Malay];>;Sharan [Magyars] [Magyars] [India] [India] [Sharan (page does not exist)];(G1) [Watch VOD] [Watch VOD];Malay;Magyars;Malay;FALSE;Hindustanis;52;29;56%;65,38;Arabia;;
14/01/2026;03:45 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;SMR [AssKickerwa] [India] [India] [Hindustanis] [Hindustanis];<;adduOP [Khmer] [Khmer] [India] [India] [AdduOP (page does not exist)];(G2) [Watch VOD] [Watch VOD];Hindustanis;Khmer;Khmer;FALSE;Huns;24;8;33%;33,47;Arabia;;
14/01/2026;03:45 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;SMR [AssKickerwa] [India] [India] [Portuguese] [Portuguese];<;adduOP [Koreans] [Koreans] [India] [India] [AdduOP (page does not exist)];(G1) [Watch VOD] [Watch VOD];Portuguese;Koreans;Koreans;FALSE;Incas;0;0;0%;0,00;Arabia;;
11/01/2026;15:15 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;link_chaos [Link chaos (page does not exist)] [India] [India] [Maya] [Maya];<;Dr.Kozmonot [Wei] [Wei] [Turkey] [Turkey] [Dr.Kozmonot];(G2) [Watch VOD] [Watch VOD];Maya;Wei;Wei;FALSE;Italians;18;9;50%;56,68;Arabia;;
11/01/2026;15:15 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;link_chaos [Link chaos (page does not exist)] [India] [India] [Magyars] [Magyars];<;Dr.Kozmonot [Chinese] [Chinese] [Turkey] [Turkey] [Dr.Kozmonot];(G1) [Watch VOD] [Watch VOD];Magyars;Chinese;Chinese;FALSE;Japanese;26;9;35%;36,56;Arabia;;
11/01/2026;06:45 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;PlanB [PlanB (page does not exist)] [India] [India] [Persians] [Persians];<;Fenrir [Lithuanians] [Lithuanians] [India] [India] [Fenrir (Indian player) (page does not exist)];(G3) [Watch VOD] [Watch VOD];Persians;Lithuanians;Lithuanians;FALSE;Jurchens;21;11;52%;58,47;Arabia;;
11/01/2026;06:45 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;PlanB [PlanB (page does not exist)] [India] [India] [Jurchens] [Jurchens];>;Fenrir [Mongols] [Mongols] [India] [India] [Fenrir (Indian player) (page does not exist)];(G2) [Watch VOD] [Watch VOD];Jurchens;Mongols;Jurchens;FALSE;Khitans;32;21;71%;69,13;Arabia;;
11/01/2026;06:45 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;PlanB [PlanB (page does not exist)] [India] [India] [Khitans] [Khitans];<;Fenrir [Magyars] [Magyars] [India] [India] [Fenrir (Indian player) (page does not exist)];(G1) [Watch VOD] [Watch VOD];Khitans;Magyars;Magyars;FALSE;Khmer;44;23;52%;61,72;Arabia;;
11/01/2026;05:50 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Fenrir [Fenrir (Indian player) (page does not exist)] [India] [India] [Lithuanians] [Lithuanians];<;SMR [Japanese] [Japanese] [India] [India] [AssKickerwa];(G2) [Watch VOD] [Watch VOD];Lithuanians;Japanese;Japanese;FALSE;Koreans;25;13;52%;59,01;Arabia;;
11/01/2026;05:50 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Fenrir [Fenrir (Indian player) (page does not exist)] [India] [India] [Portuguese] [Portuguese];<;SMR [Chinese] [Chinese] [India] [India] [AssKickerwa];(G1) [Watch VOD] [Watch VOD];Portuguese;Chinese;Chinese;FALSE;Lithuanians;35;18;51%;60,08;Arabia;;
11/01/2026;05:05 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;SMR [AssKickerwa] [India] [India] [Goths] [Goths];>;PlanB [Cumans] [Cumans] [India] [India] [PlanB (page does not exist)];(G2) [Watch VOD] [Watch VOD];Goths;Cumans;Goths;FALSE;Magyars;26;13;50%;57,98;Arabia;;
11/01/2026;05:05 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;SMR [AssKickerwa] [India] [India] [Japanese] [Japanese];>;PlanB [Dravidians] [Dravidians] [India] [India] [PlanB (page does not exist)];(G1) [Watch VOD] [Watch VOD];Japanese;Dravidians;Japanese;FALSE;Malay;26;15;58%;62,57;Arabia;;
10/01/2026;19:50 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Sharan [Sharan (page does not exist)] [India] [India] [Magyars] [Magyars];<;link_chaos [Ethiopians] [Ethiopians] [India] [India] [Link chaos (page does not exist)];(G3) [Watch VOD] [Watch VOD];Magyars;Ethiopians;Ethiopians;FALSE;Malians;28;17;61%;64,90;Arabia;;
10/01/2026;19:50 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Sharan [Sharan (page does not exist)] [India] [India] [Jurchens] [Jurchens];<;link_chaos [Celts] [Celts] [India] [India] [Link chaos (page does not exist)];(G2) [Watch VOD] [Watch VOD];Jurchens;Celts;Celts;FALSE;Mapuche;0;0;0%;0,00;Arabia;;
10/01/2026;19:50 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Sharan [Sharan (page does not exist)] [India] [India] [Unknown] [Unknown];>;link_chaos [Unknown] [Unknown] [India] [India] [Link chaos (page does not exist)];(G1) [Watch VOD] [Watch VOD];Unknown;Unknown;Unknown;TRUE;Mayans;0;0;0%;0,00;Arabia;;
10/01/2026;19:45 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Legion64 [Legion64 (page does not exist)] [India] [India] [Portuguese] [Portuguese];<;DOOMSTER [Chinese] [Chinese] [India] [India] [DOOMSTER];(G2) [Watch VOD] [Watch VOD];Portuguese;Chinese;Chinese;FALSE;Mongols;24;11;46%;55,32;Arabia;;
10/01/2026;19:45 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Legion64 [Legion64 (page does not exist)] [India] [India] [Mongols] [Mongols];<;DOOMSTER [Khmer] [Khmer] [India] [India] [DOOMSTER];(G1) [Watch VOD] [Watch VOD];Mongols;Khmer;Khmer;FALSE;Muisca;0;0;0%;0,00;Arabia;;
10/01/2026;16:30 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Gravity [Gravity (page does not exist)] [India] [India] [Hindustanis] [Hindustanis];<;n0_chanc3 [Portuguese] [Portuguese] [India] [India] [N0 chanc3 (page does not exist)];(G2) [Watch VOD] [Watch VOD];Hindustanis;Portuguese;Portuguese;FALSE;Persians;42;23;55%;63,39;Arabia;;
10/01/2026;16:30 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Gravity [Gravity (page does not exist)] [India] [India] [Jurchens] [Jurchens];<;n0_chanc3 [Persians] [Persians] [India] [India] [N0 chanc3 (page does not exist)];(G1) [Watch VOD] [Watch VOD];Jurchens;Persians;Persians;FALSE;Poles;2;2;100%;55,35;Arabia;;
09/01/2026;09:10 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Lithuanians] [Lithuanians];>;SaraSaiyan [Koreans] [Koreans] [India] [India] [SaraSaiyan (page does not exist)];(G2) [Watch VOD] [Watch VOD];Lithuanians;Koreans;Lithuanians;FALSE;Portuguese;39;19;49%;58,57;Arabia;;
09/01/2026;09:10 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Malay] [Malay];>;SaraSaiyan [Magyars] [Magyars] [India] [India] [SaraSaiyan (page does not exist)];(G1) [Watch VOD] [Watch VOD];Malay;Magyars;Malay;FALSE;Puru;0;0;0%;0,00;Arabia;;
08/01/2026;07:40 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;DOOMSTER [DOOMSTER] [India] [India] [Vikings] [Vikings];>;AgentP_97 [Jurchens] [Jurchens] [India] [India] [AgentP 97 (page does not exist)];(G2) [Watch VOD] [Watch VOD];Vikings;Jurchens;Vikings;FALSE;Romans;38;18;47%;57,51;Arabia;;
08/01/2026;07:40 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;DOOMSTER [DOOMSTER] [India] [India] [Khitans] [Khitans];>;AgentP_97 [Mongols] [Mongols] [India] [India] [AgentP 97 (page does not exist)];(G1) [Watch VOD] [Watch VOD];Khitans;Mongols;Khitans;FALSE;Saracens;8;4;50%;54,19;Arabia;;
06/01/2026;20:30 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;n0_chanc3 [N0 chanc3 (page does not exist)] [India] [India] [Vietnamese] [Vietnamese];<;Dragonstar [Khitans] [Khitans] [India] [India] [The Dragonstar];(G2) [Watch VOD] [Watch VOD];Vietnamese;Khitans;Khitans;FALSE;Shu;18;9;50%;56,68;Arabia;;
